date,product,types,price,predicted_price,discount,festivals
2022-01-18,Mango Fruit,fruit,12.53,12.53,0.0,nan
2022-01-18,product6,toy,119.19,119.19,0.0,nan
2022-01-19,product5,"toy,watch",8.55,8.55,0.0,nan
2022-01-19,product4,sport,3713.4,3713.4,0.0,nan
2022-01-19,Mango Fruit,fruit,12.53,12.53,0.0,nan
2022-01-19,product2,"watch,sport",398.61,398.61,0.0,nan
2022-01-19,Durian Fruit,fruit,27.25,27.25,0.0,nan
2022-01-19,product3,"phone,sport",199.7,199.7,0.0,nan
2022-01-19,product6,toy,119.19,119.19,0.0,nan
2022-01-20,Mango Fruit,fruit,12.53,12.53,0.0,nan
2022-01-20,product6,toy,119.19,119.19,0.0,nan
2022-01-20,product4,sport,3713.4,3713.4,0.0,nan
2022-01-20,product5,"toy,watch",8.55,8.55,0.0,nan
2022-01-20,product3,"phone,sport",199.7,199.7,0.0,nan
2022-01-20,product2,"watch,sport",398.61,398.61,0.0,nan
2022-01-20,Durian Fruit,fruit,27.25,27.25,0.0,nan
2022-01-21,Durian Fruit,fruit,27.25,27.25,0.0,nan
2022-01-21,product2,"watch,sport",398.61,398.61,0.0,nan
2022-01-21,product3,"phone,sport",199.7,199.7,0.0,nan
2022-01-21,product4,sport,3713.4,3713.4,0.0,nan
2022-01-21,product5,"toy,watch",8.55,8.55,0.0,nan
2022-01-21,Mango Fruit,fruit,12.53,12.53,0.0,nan
2022-01-21,product6,toy,119.19,119.19,0.0,nan
2022-01-22,Mango Fruit,fruit,12.53,12.53,0.0,nan
2022-01-22,product5,"toy,watch",8.55,8.55,0.0,nan
2022-01-22,product4,sport,3713.4,3713.4,0.0,nan
2022-01-22,product6,toy,119.19,119.19,0.0,nan
2022-01-22,product2,"watch,sport",398.61,398.61,0.0,nan
2022-01-22,Durian Fruit,fruit,27.25,27.25,0.0,nan
2022-01-22,product3,"phone,sport",199.7,199.7,0.0,nan
2022-01-23,Mango Fruit,fruit,12.53,12.53,0.0,nan
2022-01-23,product5,"toy,watch",8.55,8.55,0.0,nan
2022-01-23,product4,sport,3713.4,3713.4,0.0,nan
2022-01-23,product6,toy,119.19,119.19,0.0,nan
2022-01-23,product2,"watch,sport",398.61,398.61,0.0,nan
2022-01-23,Durian Fruit,fruit,27.25,27.25,0.0,nan
2022-01-23,product3,"phone,sport",199.7,199.7,0.0,nan
2022-01-24,Durian Fruit,fruit,27.25,27.25,0.0,nan
2022-01-24,product2,"watch,sport",398.61,398.61,0.0,nan
2022-01-24,product3,"phone,sport",199.7,199.7,0.0,nan
2022-01-24,product4,sport,3713.4,3713.4,0.0,nan
2022-01-24,product5,"toy,watch",8.55,8.55,0.0,nan
2022-01-24,Mango Fruit,fruit,12.53,12.53,0.0,nan
2022-01-24,product6,toy,119.19,119.19,0.0,nan
2022-01-25,Mango Fruit,fruit,12.53,12.53,0.0,nan
2022-01-25,product6,toy,119.19,119.19,0.0,nan
2022-01-25,product5,"toy,watch",8.55,8.55,0.0,nan
2022-01-25,product4,sport,3713.4,3713.4,0.0,nan
2022-01-25,product3,"phone,sport",199.7,199.7,0.0,nan
2022-01-25,product2,"watch,sport",398.61,398.61,0.0,nan
2022-01-25,Durian Fruit,fruit,27.25,27.25,0.0,nan
2022-01-26,Mango Fruit,fruit,12.53,12.53,0.0,nan
2022-01-26,product5,"toy,watch",8.55,8.55,0.0,nan
2022-01-26,product4,sport,3713.4,3713.4,0.0,nan
2022-01-26,product6,toy,119.19,119.19,0.0,nan
2022-01-26,product2,"watch,sport",398.61,398.61,0.0,nan
2022-01-26,Durian Fruit,fruit,27.25,27.25,0.0,nan
2022-01-26,product3,"phone,sport",199.7,199.7,0.0,nan
2022-01-27,Durian Fruit,fruit,27.25,27.25,0.0,nan
2022-01-27,product2,"watch,sport",398.61,398.61,0.0,nan
2022-01-27,product3,"phone,sport",199.7,199.7,0.0,nan
2022-01-27,product4,sport,3713.4,3713.4,0.0,nan
2022-01-27,product5,"toy,watch",8.55,8.55,0.0,nan
2022-01-27,Mango Fruit,fruit,12.53,12.53,0.0,nan
2022-01-27,product6,toy,119.19,119.19,0.0,nan
2022-01-28,product6,toy,119.19,119.19,0.0,nan
2022-01-28,Durian Fruit,fruit,27.25,27.25,0.0,nan
2022-01-28,product5,"toy,watch",8.55,8.55,0.0,nan
2022-01-28,product2,"watch,sport",398.61,398.61,0.0,nan
2022-01-28,product3,"phone,sport",199.7,199.7,0.0,nan
2022-01-28,product4,sport,3713.4,3713.4,0.0,nan
2022-01-28,Mango Fruit,fruit,12.53,12.53,0.0,nan
2022-01-29,Durian Fruit,fruit,27.25,27.25,0.0,nan
2022-01-29,product2,"watch,sport",398.61,398.61,0.0,nan
2022-01-29,product3,"phone,sport",199.7,199.7,0.0,nan
2022-01-29,product4,sport,3713.4,3713.4,0.0,nan
2022-01-29,product5,"toy,watch",8.55,8.55,0.0,nan
2022-01-29,Mango Fruit,fruit,12.53,12.53,0.0,nan
2022-01-29,product6,toy,119.19,119.19,0.0,nan
2022-01-30,product5,"toy,watch",8.55,8.55,0.0,nan
2022-01-30,product6,toy,119.19,119.19,0.0,nan
2022-01-30,Mango Fruit,fruit,12.53,12.53,0.0,nan
2022-01-30,product4,sport,3713.4,3713.4,0.0,nan
2022-01-30,product2,"watch,sport",398.61,398.61,0.0,nan
2022-01-30,product3,"phone,sport",199.7,199.7,0.0,nan
2022-01-30,Durian Fruit,fruit,27.25,27.25,0.0,nan
2022-01-31,Durian Fruit,fruit,27.25,27.25,0.0,nan
2022-01-31,product2,"watch,sport",398.61,398.61,0.0,nan
2022-01-31,product3,"phone,sport",199.7,199.7,0.0,nan
2022-01-31,product4,sport,3713.4,3713.4,0.0,nan
2022-01-31,product5,"toy,watch",8.55,8.55,0.0,nan
2022-01-31,Mango Fruit,fruit,12.53,12.53,0.0,nan
2022-01-31,product6,toy,119.19,119.19,0.0,nan
2022-02-01,product6,toy,129.98,129.98,0.0,Chinese New Year
2022-02-01,Mango Fruit,fruit,11.16,11.16,0.0,Chinese New Year
2022-02-01,product5,"toy,watch",7.91,6.83,13.71,Chinese New Year
2022-02-01,Durian Fruit,fruit,28.62,28.62,0.0,Chinese New Year
2022-02-01,product3,"phone,sport",214.0,180.7,15.56,Chinese New Year
2022-02-01,product2,"watch,sport",416.16,356.4,14.36,Chinese New Year
2022-02-01,product4,sport,3536.2,3536.2,0.0,Chinese New Year
2022-02-02,product6,toy,129.98,129.98,0.0,Chinese New Year
2022-02-02,Durian Fruit,fruit,29.98,29.98,0.0,Chinese New Year
2022-02-02,product5,"toy,watch",7.91,7.04,11.04,Chinese New Year
2022-02-02,product2,"watch,sport",416.16,361.56,13.12,Chinese New Year
2022-02-02,product3,"phone,sport",214.0,172.28,19.49,Chinese New Year
2022-02-02,product4,sport,3536.2,3536.2,0.0,Chinese New Year
2022-02-02,Mango Fruit,fruit,11.51,11.51,0.0,Chinese New Year
2022-02-03,Durian Fruit,fruit,29.77,29.77,0.0,Chinese New Year
2022-02-03,product2,"watch,sport",416.16,335.22,19.45,Chinese New Year
2022-02-03,product3,"phone,sport",214.0,191.68,10.43,Chinese New Year
2022-02-03,product4,sport,3536.2,3536.2,0.0,Chinese New Year
2022-02-03,product5,"toy,watch",7.91,6.51,17.65,Chinese New Year
2022-02-03,Mango Fruit,fruit,11.69,11.69,0.0,Chinese New Year
2022-02-03,product6,toy,129.98,129.98,0.0,Chinese New Year
2022-02-04,Mango Fruit,fruit,11.63,11.63,0.0,Chinese New Year
2022-02-04,product5,"toy,watch",7.91,6.6,16.57,Chinese New Year
2022-02-04,product4,sport,3536.2,3536.2,0.0,Chinese New Year
2022-02-04,product6,toy,129.98,129.98,0.0,Chinese New Year
2022-02-04,Durian Fruit,fruit,29.19,29.19,0.0,Chinese New Year
2022-02-04,product3,"phone,sport",214.0,181.82,15.04,Chinese New Year
2022-02-04,product2,"watch,sport",416.16,348.26,16.32,Chinese New Year
2022-02-05,Durian Fruit,fruit,30.26,30.26,0.0,Chinese New Year
2022-02-05,product2,"watch,sport",416.16,341.55,17.93,Chinese New Year
2022-02-05,product3,"phone,sport",214.0,188.28,12.02,Chinese New Year
2022-02-05,product4,sport,3536.2,3536.2,0.0,Chinese New Year
2022-02-05,product5,"toy,watch",7.91,6.4,19.05,Chinese New Year
2022-02-05,Mango Fruit,fruit,11.25,11.25,0.0,Chinese New Year
2022-02-05,product6,toy,129.98,129.98,0.0,Chinese New Year
2022-02-06,Mango Fruit,fruit,11.25,11.25,0.0,Chinese New Year
2022-02-06,product5,"toy,watch",7.91,6.76,14.54,Chinese New Year
2022-02-06,product4,sport,3536.2,3536.2,0.0,Chinese New Year
2022-02-06,product6,toy,129.98,129.98,0.0,Chinese New Year
2022-02-06,product3,"phone,sport",214.0,189.69,11.36,Chinese New Year
2022-02-06,product2,"watch,sport",416.16,360.75,13.32,Chinese New Year
2022-02-06,Durian Fruit,fruit,28.08,28.08,0.0,Chinese New Year
2022-02-07,Durian Fruit,fruit,27.84,27.84,0.0,Chinese New Year
2022-02-07,product2,"watch,sport",416.16,370.97,10.86,Chinese New Year
2022-02-07,product3,"phone,sport",214.0,175.76,17.87,Chinese New Year
2022-02-07,product4,sport,3536.2,3536.2,0.0,Chinese New Year
2022-02-07,product5,"toy,watch",7.91,7.06,10.79,Chinese New Year
2022-02-07,Mango Fruit,fruit,11.47,11.47,0.0,Chinese New Year
2022-02-07,product6,toy,129.98,129.98,0.0,Chinese New Year
2022-02-08,product5,"toy,watch",7.91,7.91,0.0,nan
2022-02-08,product4,sport,3536.2,3536.2,0.0,nan
2022-02-08,Mango Fruit,fruit,10.58,10.58,0.0,nan
2022-02-08,product2,"watch,sport",416.16,416.16,0.0,nan
2022-02-08,Durian Fruit,fruit,26.35,26.35,0.0,nan
2022-02-08,product3,"phone,sport",214.0,214.0,0.0,nan
2022-02-08,product6,toy,129.98,129.98,0.0,nan
2022-02-09,product2,"watch,sport",416.16,416.16,0.0,nan
2022-02-09,Mango Fruit,fruit,10.58,10.58,0.0,nan
2022-02-09,product5,"toy,watch",7.91,7.91,0.0,nan
2022-02-09,Durian Fruit,fruit,26.35,26.35,0.0,nan
2022-02-09,product3,"phone,sport",214.0,214.0,0.0,nan
2022-02-09,product6,toy,129.98,129.98,0.0,nan
2022-02-09,product4,sport,3536.2,3536.2,0.0,nan
2022-02-10,Durian Fruit,fruit,26.35,26.35,0.0,nan
2022-02-10,product2,"watch,sport",416.16,416.16,0.0,nan
2022-02-10,product3,"phone,sport",214.0,214.0,0.0,nan
2022-02-10,product4,sport,3536.2,3536.2,0.0,nan
2022-02-10,product5,"toy,watch",7.91,7.91,0.0,nan
2022-02-10,Mango Fruit,fruit,10.58,10.58,0.0,nan
2022-02-10,product6,toy,129.98,129.98,0.0,nan
2022-02-11,product6,toy,129.98,129.98,0.0,nan
2022-02-11,Mango Fruit,fruit,10.58,10.58,0.0,nan
2022-02-11,product5,"toy,watch",7.91,7.91,0.0,nan
2022-02-11,product4,sport,3536.2,3536.2,0.0,nan
2022-02-11,product3,"phone,sport",214.0,214.0,0.0,nan
2022-02-11,product2,"watch,sport",416.16,416.16,0.0,nan
2022-02-11,Durian Fruit,fruit,26.35,26.35,0.0,nan
2022-02-12,Durian Fruit,fruit,26.35,26.35,0.0,nan
2022-02-12,product2,"watch,sport",416.16,416.16,0.0,nan
2022-02-12,product3,"phone,sport",214.0,214.0,0.0,nan
2022-02-12,product4,sport,3536.2,3536.2,0.0,nan
2022-02-12,product5,"toy,watch",7.91,7.91,0.0,nan
2022-02-12,Mango Fruit,fruit,10.58,10.58,0.0,nan
2022-02-12,product6,toy,129.98,129.98,0.0,nan
2022-02-13,Mango Fruit,fruit,10.58,10.58,0.0,nan
2022-02-13,product5,"toy,watch",7.91,7.91,0.0,nan
2022-02-13,product4,sport,3536.2,3536.2,0.0,nan
2022-02-13,product6,toy,129.98,129.98,0.0,nan
2022-02-13,product2,"watch,sport",416.16,416.16,0.0,nan
2022-02-13,Durian Fruit,fruit,26.35,26.35,0.0,nan
2022-02-13,product3,"phone,sport",214.0,214.0,0.0,nan
2022-02-14,Durian Fruit,fruit,26.35,26.35,0.0,nan
2022-02-14,product2,"watch,sport",416.16,416.16,0.0,nan
2022-02-14,product3,"phone,sport",214.0,214.0,0.0,nan
2022-02-14,product4,sport,3536.2,3536.2,0.0,nan
2022-02-14,product5,"toy,watch",7.91,7.91,0.0,nan
2022-02-14,Mango Fruit,fruit,10.58,10.58,0.0,nan
2022-02-14,product6,toy,129.98,129.98,0.0,nan
2022-02-15,Mango Fruit,fruit,10.58,10.58,0.0,nan
2022-02-15,product5,"toy,watch",7.91,7.91,0.0,nan
2022-02-15,product4,sport,3536.2,3536.2,0.0,nan
2022-02-15,product6,toy,129.98,129.98,0.0,nan
2022-02-15,product2,"watch,sport",416.16,416.16,0.0,nan
2022-02-15,Durian Fruit,fruit,26.35,26.35,0.0,nan
2022-02-15,product3,"phone,sport",214.0,214.0,0.0,nan
2022-02-16,Mango Fruit,fruit,10.58,10.58,0.0,nan
2022-02-16,product5,"toy,watch",7.91,7.91,0.0,nan
2022-02-16,product4,sport,3536.2,3536.2,0.0,nan
2022-02-16,product6,toy,129.98,129.98,0.0,nan
2022-02-16,product2,"watch,sport",416.16,416.16,0.0,nan
2022-02-16,Durian Fruit,fruit,26.35,26.35,0.0,nan
2022-02-16,product3,"phone,sport",214.0,214.0,0.0,nan
2022-02-17,Durian Fruit,fruit,26.35,26.35,0.0,nan
2022-02-17,product2,"watch,sport",416.16,416.16,0.0,nan
2022-02-17,product3,"phone,sport",214.0,214.0,0.0,nan
2022-02-17,product4,sport,3536.2,3536.2,0.0,nan
2022-02-17,product5,"toy,watch",7.91,7.91,0.0,nan
2022-02-17,Mango Fruit,fruit,10.58,10.58,0.0,nan
2022-02-17,product6,toy,129.98,129.98,0.0,nan
2022-02-18,product6,toy,129.98,129.98,0.0,nan
2022-02-18,product5,"toy,watch",7.91,7.91,0.0,nan
2022-02-18,Mango Fruit,fruit,10.58,10.58,0.0,nan
2022-02-18,product3,"phone,sport",214.0,214.0,0.0,nan
2022-02-18,Durian Fruit,fruit,26.35,26.35,0.0,nan
2022-02-18,product2,"watch,sport",416.16,416.16,0.0,nan
2022-02-18,product4,sport,3536.2,3536.2,0.0,nan
2022-02-19,Durian Fruit,fruit,26.35,26.35,0.0,nan
2022-02-19,product2,"watch,sport",416.16,416.16,0.0,nan
2022-02-19,product3,"phone,sport",214.0,214.0,0.0,nan
2022-02-19,product4,sport,3536.2,3536.2,0.0,nan
2022-02-19,product5,"toy,watch",7.91,7.91,0.0,nan
2022-02-19,Mango Fruit,fruit,10.58,10.58,0.0,nan
2022-02-19,product6,toy,129.98,129.98,0.0,nan
2022-02-20,product6,toy,129.98,129.98,0.0,nan
2022-02-20,Mango Fruit,fruit,10.58,10.58,0.0,nan
2022-02-20,product5,"toy,watch",7.91,7.91,0.0,nan
2022-02-20,Durian Fruit,fruit,26.35,26.35,0.0,nan
2022-02-20,product3,"phone,sport",214.0,214.0,0.0,nan
2022-02-20,product2,"watch,sport",416.16,416.16,0.0,nan
2022-02-20,product4,sport,3536.2,3536.2,0.0,nan
2022-02-21,product6,toy,129.98,129.98,0.0,nan
2022-02-21,Mango Fruit,fruit,10.58,10.58,0.0,nan
2022-02-21,product5,"toy,watch",7.91,7.91,0.0,nan
2022-02-21,Durian Fruit,fruit,26.35,26.35,0.0,nan
2022-02-21,product3,"phone,sport",214.0,214.0,0.0,nan
2022-02-21,product2,"watch,sport",416.16,416.16,0.0,nan
2022-02-21,product4,sport,3536.2,3536.2,0.0,nan
2022-02-22,Durian Fruit,fruit,26.35,26.35,0.0,nan
2022-02-22,product2,"watch,sport",416.16,416.16,0.0,nan
2022-02-22,product3,"phone,sport",214.0,214.0,0.0,nan
2022-02-22,product4,sport,3536.2,3536.2,0.0,nan
2022-02-22,product5,"toy,watch",7.91,7.91,0.0,nan
2022-02-22,Mango Fruit,fruit,10.58,10.58,0.0,nan
2022-02-22,product6,toy,129.98,129.98,0.0,nan
2022-02-23,product5,"toy,watch",7.91,7.91,0.0,nan
2022-02-23,Mango Fruit,fruit,10.58,10.58,0.0,nan
2022-02-23,product6,toy,129.98,129.98,0.0,nan
2022-02-23,product4,sport,3536.2,3536.2,0.0,nan
2022-02-23,product2,"watch,sport",416.16,416.16,0.0,nan
2022-02-23,Durian Fruit,fruit,26.35,26.35,0.0,nan
2022-02-23,product3,"phone,sport",214.0,214.0,0.0,nan
2022-02-24,Durian Fruit,fruit,26.35,26.35,0.0,nan
2022-02-24,product2,"watch,sport",416.16,416.16,0.0,nan
2022-02-24,product3,"phone,sport",214.0,214.0,0.0,nan
2022-02-24,product4,sport,3536.2,3536.2,0.0,nan
2022-02-24,product5,"toy,watch",7.91,7.91,0.0,nan
2022-02-24,Mango Fruit,fruit,10.58,10.58,0.0,nan
2022-02-24,product6,toy,129.98,129.98,0.0,nan
2022-02-25,Mango Fruit,fruit,10.58,10.58,0.0,nan
2022-02-25,product5,"toy,watch",7.91,7.91,0.0,nan
2022-02-25,product4,sport,3536.2,3536.2,0.0,nan
2022-02-25,product6,toy,129.98,129.98,0.0,nan
2022-02-25,product2,"watch,sport",416.16,416.16,0.0,nan
2022-02-25,Durian Fruit,fruit,26.35,26.35,0.0,nan
2022-02-25,product3,"phone,sport",214.0,214.0,0.0,nan
2022-02-26,Mango Fruit,fruit,10.58,10.58,0.0,nan
2022-02-26,product5,"toy,watch",7.91,7.91,0.0,nan
2022-02-26,product4,sport,3536.2,3536.2,0.0,nan
2022-02-26,product6,toy,129.98,129.98,0.0,nan
2022-02-26,product2,"watch,sport",416.16,416.16,0.0,nan
2022-02-26,Durian Fruit,fruit,26.35,26.35,0.0,nan
2022-02-26,product3,"phone,sport",214.0,214.0,0.0,nan
2022-02-27,Durian Fruit,fruit,26.35,26.35,0.0,nan
2022-02-27,product2,"watch,sport",416.16,416.16,0.0,nan
2022-02-27,product3,"phone,sport",214.0,214.0,0.0,nan
2022-02-27,product4,sport,3536.2,3536.2,0.0,nan
2022-02-27,product5,"toy,watch",7.91,7.91,0.0,nan
2022-02-27,Mango Fruit,fruit,10.58,10.58,0.0,nan
2022-02-27,product6,toy,129.98,129.98,0.0,nan
2022-02-28,product6,toy,129.98,129.98,0.0,nan
2022-02-28,product5,"toy,watch",7.91,7.91,0.0,nan
2022-02-28,Mango Fruit,fruit,10.58,10.58,0.0,nan
2022-02-28,product3,"phone,sport",214.0,214.0,0.0,nan
2022-02-28,Durian Fruit,fruit,26.35,26.35,0.0,nan
2022-02-28,product2,"watch,sport",416.16,416.16,0.0,nan
2022-02-28,product4,sport,3536.2,3536.2,0.0,nan
2022-03-01,Durian Fruit,fruit,25.93,25.93,0.0,nan
2022-03-01,product2,"watch,sport",431.24,431.24,0.0,nan
2022-03-01,product3,"phone,sport",193.95,193.95,0.0,nan
2022-03-01,product4,sport,3031.97,3031.97,0.0,nan
2022-03-01,product5,"toy,watch",7.96,7.96,0.0,nan
2022-03-01,Mango Fruit,fruit,13.44,13.44,0.0,nan
2022-03-01,product6,toy,130.81,130.81,0.0,nan
2022-03-02,product6,toy,130.81,130.81,0.0,nan
2022-03-02,Mango Fruit,fruit,13.44,13.44,0.0,nan
2022-03-02,product5,"toy,watch",7.96,7.96,0.0,nan
2022-03-02,Durian Fruit,fruit,25.93,25.93,0.0,nan
2022-03-02,product3,"phone,sport",193.95,193.95,0.0,nan
2022-03-02,product2,"watch,sport",431.24,431.24,0.0,nan
2022-03-02,product4,sport,3031.97,3031.97,0.0,nan
2022-03-03,product6,toy,130.81,130.81,0.0,nan
2022-03-03,Durian Fruit,fruit,25.93,25.93,0.0,nan
2022-03-03,product5,"toy,watch",7.96,7.96,0.0,nan
2022-03-03,product2,"watch,sport",431.24,431.24,0.0,nan
2022-03-03,product3,"phone,sport",193.95,193.95,0.0,nan
